allergen_id,allergen_name
501,Almond
502,Brazil Nuts
503,Cashew
504,Walnut
505,Chestnuts
506,Coconut
507,Hazelnut
508,Chinquapin Nut
509,Ginkgo Nut
510,Hickory Nut
511,Macadamia Nut
512,Marzipan
513,Nangai Nut
514,Pecan
515,Pesto
516,Pili Nut
517,Pine Nut
518,Pistachio
519,Praline
520,Shea Nut
521,Peanut
522,Butter
523,Casein
524,Ammonium caseinate
525,Calcium caseinate
526,Magnesium caseinate
527,Potassium caseinate
528,Sodium caseinate
529,Cheese
530,Cream
531,Ghee
532,Half and Half
533,Whole Milk
534,Lowfat Milk
535,Nonfat Milk
536,Skim Milk
537,Whey
538,Lactalbumin
539,Lactoglobulin
540,Lactoferrin
541,Condensed Milk
542,Evaporated Milk
543,Malted Milk
544,Dry Milk
545,Milk Solids
546,Lactose
547,Lactulose
548,Nisin
549,Nougat
550,Recaldent
551,Sour cream
552,Yogurt
553,Barnacle
554,Crab
555,Crawfish
556,Crawdad
557,Crayfish
558,Ecrevisse
559,Lobster
560,Prawn
561,Shrimp
562,Abalone
563,Clam
564,Krill
565,Cherrystone
566,Geoduck
567,Littleneck
568,Pismo
569,Quahog
570,Cockle
571,Cuttlefish
572,Limpet
573,Mussel
574,Octopus
575,Oyster
576,Periwinkle
577,Sea cucumber
578,Sea urchin
579,Scallop
580,Snail
581,Escargot
582,Squid
583,Calamari
584,Whelk
585,Soy
586,Miso
587,Edamame
588,Natto
589,Tamari
590,Tempeh
591,Textured vegetable protein
592,Tofu
593,Bran
594,Bread crumbs
595,Bulgur
596,Cereal extract
597,Couscous
598,Cracker meal
599,Durum
600,Einkorn
601,Emmer
602,Farina
603,Enriched flour
604,Graham flour
605,High-gluten flour
606,High-protein flour
607,Whole-wheat flour
608,Pasta
609,Seitan
610,Semolina
611,Spelt
612,Vital gluten
613,Wheat
614,Wheat berries
615,Wheat bran
616,Wheat germ
617,Wheat gluten
618,Wheat grass
619,Wheat malt
620,Sprouted wheat
621,Wheat starch
622,Wheat sprouted
623,Farro
624,All-purpose flour
625,Freekeh
626,Wheat
627,Benne
628,Benniseed
629,Gingelly 
630,Halvah
631,Sesame
632,Sesamol
633,Sesamum indicum
634,Sesemolina
635,Sim sim
636,Tahini
637,Tahina
638,Tehina
639,Til
640,Egg
641,Albumin
642,Albumen
643,Apovitellin
644,Avidin globulin
645,Eggnog
646,Lysozyme
647,Mayonnaise
648,Meringue
649,Ovalbumin
650,Ovomucoid
651,Ovomucin
652,Ovovitellin
653,Surimi
654,Vitellin
656,Anchovies
657,Bass
658,Catfish
659,Cod
660,Flounder
661,Grouper
662,Haddock
663,Hake
664,Halibut
665,Herring
666,Mahi Mahi
667,Perch
668,Pike
669,Pollock
670,Salmon
671,Scrod
672,Sole
673,Snapper
674,Swordfish
675,Tilapia
676,Trout
677,Tuna
678,Fish
679,Fish oil
680,Fish gelatin
681,Fish flavoring